"","year","foi"
"809",1999,0.02
"810",1999,0.02
"811",1999,0.02
"812",1999,0.02
"813",1999,0.02
"814",1999,0.02
"815",1999,0.02
"816",1999,0.02
"817",1999,0.02
"818",1999,0.02
"819",1999,0.02
"820",1999,0.02
"821",1999,0.02
"822",1999,0.02
"823",1999,0.02
"824",1999,0.02
"825",1999,0.02
"826",1999,0.02
"827",1999,0.02
"828",1999,0.02
"829",1999,0.02
"830",1999,0.02
"831",1999,0.02
"832",1999,0.02
"833",1999,0.02
"834",1999,0.02
"835",1999,0.02
"836",1999,0.02
"837",1999,0.02
"838",1999,0.02
"839",1999,0.02
"840",1999,0.02
"841",2000,0.02
"842",2000,0.02
"843",2000,0.02
"844",2000,0.02
"845",2000,0.02
"846",2000,0.02
"847",2000,0.02
"848",2000,0.02
"849",2000,0.02
"850",2000,0.02
"851",2000,0.02
"852",2000,0.02
"853",2000,0.02
"854",2000,0.02
"855",2000,0.02
"856",2000,0.02
"857",2000,0.02
"858",2000,0.02
"859",2000,0.02
"860",2000,0.02
"861",2000,0.02
"862",2000,0.02
"863",2000,0.02
"864",2000,0.02
"865",2000,0.02
"866",2000,0.02
"867",2000,0.02
"868",2000,0.02
"869",2000,0.02
"870",2000,0.02
"871",2000,0.02
"872",2000,0.02
"873",2000,0.02
"874",2000,0.02
"875",2000,0.02
"876",2000,0.02
"877",2000,0.02
"878",2000,0.02
"879",2000,0.02
"880",2000,0.02
"881",2000,0.02
"882",2000,0.02
"883",2001,0.02
"884",2001,0.02
"885",2001,0.02
"886",2001,0.02
"887",2001,0.02
"888",2001,0.02
"889",2001,0.02
"890",2001,0.02
"891",2001,0.02
"892",2001,0.02
"893",2001,0.02
"894",2001,0.02
"895",2001,0.02
"896",2001,0.02
"897",2001,0.02
"898",2001,0.02
"899",2001,0.02
"900",2001,0.02
"901",2001,0.02
"902",2001,0.02
"903",2001,0.02
"904",2001,0.02
"905",2001,0.02
"906",2001,0.02
"907",2001,0.02
"908",2001,0.02
"909",2001,0.02
"910",2001,0.02
"911",2001,0.02
"912",2001,0.02
"913",2001,0.02
"914",2001,0.02
"915",2001,0.02
"916",2001,0.02
"917",2001,0.02
"918",2001,0.02
"919",2001,0.02
"920",2001,0.02
"921",2001,0.02
"922",2001,0.02
"923",2001,0.02
"924",2001,0.02
"925",2002,0.02
"926",2002,0.02
"927",2002,0.02
"928",2002,0.02
"929",2002,0.02
"930",2002,0.02
"931",2002,0.02
"932",2002,0.02
"933",2002,0.02
"934",2002,0.02
"935",2002,0.02
"936",2002,0.02
"937",2002,0.02
"938",2002,0.02
"939",2002,0.02
"940",2002,0.02
"941",2002,0.02
"942",2002,0.02
"943",2002,0.02
"944",2002,0.02
"945",2002,0.02
"946",2002,0.02
"947",2002,0.02
"948",2002,0.02
"949",2002,0.02
"950",2002,0.02
"951",2002,0.02
"952",2002,0.02
"953",2002,0.02
"954",2002,0.02
"955",2002,0.02
"956",2002,0.02
"957",2002,0.02
"958",2002,0.02
"959",2002,0.02
"960",2002,0.02
"961",2002,0.02
"962",2002,0.02
"963",2003,0.02
"964",2003,0.02
"965",2003,0.02
"966",2003,0.02
"967",2003,0.02
"968",2003,0.02
"969",2003,0.02
"970",2003,0.02
"971",2003,0.02
"972",2003,0.02
"973",2003,0.02
"974",2003,0.02
